Region,Tipo_Suelo,Pendiente,Precipitacion,Recursos_Hidricos
Region_D,Arenoso,4.640574097616968,753.4025946082468,Medio
Region_D,Franco,40.6148808005805,917.8855085479379,Alto
Region_C,Franco,22.736356760153573,765.5157264151203,Alto
Region_A,Arcilloso,37.190585974848375,633.0538006355835,Medio
Region_D,Limoso,14.402232046377529,680.9538066509012,Bajo
Region_D,Limoso,40.29854528232902,1191.1681520490888,Bajo
Region_B,Limoso,17.51407554303734,809.5005776086888,Bajo
Region_D,Franco,0.4876943166134262,1046.404791572113,Alto
Region_D,Franco,40.74218893886687,1255.1259062822853,Medio
Region_B,Franco,4.10790045537601,1535.592242944048,Alto
Region_C,Arenoso,14.36911369156867,558.9682097616484,Bajo
Region_D,Arcilloso,42.75278851728622,1699.115598363564,Alto
Region_B,Franco,42.77732161219002,1441.8505842363616,Alto
Region_A,Arcilloso,25.804704965547874,622.6385479233079,Bajo
Region_C,Arcilloso,28.432674547640968,1810.3679361601658,Bajo
Region_A,Limoso,20.18004848902439,1881.3086007977197,Bajo
Region_A,Arenoso,13.194484726412904,591.6169397822956,Bajo
Region_B,Franco,14.789904541646218,915.3164722208055,Medio
Region_D,Limoso,30.263330523466728,1709.301919689592,Medio
Region_B,Limoso,33.8568538246956,1622.3895355754876,Bajo
Region_B,Franco,35.621056967663186,776.781529034566,Medio
Region_B,Arcilloso,35.53281642575492,814.0239850050655,Bajo
Region_B,Limoso,4.104274637191066,1055.708154187073,Bajo
Region_C,Arcilloso,22.248913711616165,1226.784477786532,Medio
Region_D,Arenoso,2.590144200748993,1427.382157295444,Medio
Region_A,Arcilloso,24.7287997045681,1053.3704593546586,Alto
Region_A,Arenoso,19.868872561801965,1193.8020741997218,Bajo
Region_D,Arcilloso,39.94668822412349,1621.2064072006349,Medio
Region_A,Limoso,15.791175564843542,555.0248043358969,Medio
Region_D,Limoso,5.268015739242264,878.6554165160312,Bajo
Region_A,Arenoso,6.4346256923776135,1570.0243788268288,Medio
Region_B,Franco,34.26797842728625,1842.810256530799,Bajo
Region_A,Arenoso,27.81981284923175,1267.516163173499,Bajo
Region_D,Arenoso,4.550520425525561,1298.1702278979735,Alto
Region_D,Arcilloso,3.7848062751748843,660.7580170096641,Alto
Region_D,Arcilloso,31.5436109156604,1171.1185502351818,Alto
Region_D,Arenoso,3.274335286388709,1298.9258996825347,Bajo
Region_D,Limoso,36.98370266806603,863.7057554520945,Bajo
Region_C,Arcilloso,31.78090022204233,903.8648464240714,Alto
Region_C,Franco,3.6606951288854894,1065.926244656934,Medio
Region_A,Arcilloso,3.8176971338336365,530.1067966665895,Bajo
Region_D,Arcilloso,44.3987810325529,983.1187483747674,Medio
Region_A,Franco,16.842185809025416,817.172010494817,Bajo
Region_D,Arenoso,16.678896618010093,991.2460282668719,Alto
Region_D,Franco,36.575980526587614,679.6431977288769,Bajo
Region_C,Arenoso,42.62618598227364,1835.7909211098424,Medio
Region_C,Arenoso,44.37004787202919,1390.388680331073,Bajo
Region_B,Arenoso,33.902018336652375,1518.6534787167343,Medio
Region_C,Franco,16.93168134889121,1683.7568579110075,Medio
Region_B,Arenoso,3.7575322514400944,1247.663298393586,Bajo
Region_B,Limoso,34.97161121673466,630.3804321311355,Alto
Region_B,Franco,25.128191238111228,1305.6598127278216,Alto
Region_B,Limoso,19.08999041611393,1380.2616770313186,Alto
Region_B,Arenoso,40.78594732926312,1618.159211276495,Alto
Region_A,Arcilloso,5.003886703776811,1147.4893193445191,Medio
Region_C,Arenoso,22.168129693088662,691.3704541933456,Alto
Region_B,Limoso,0.5109140145338581,925.6638586980866,Bajo
Region_D,Limoso,21.08972888973568,1044.6234445979526,Bajo
Region_C,Franco,2.5336474056826805,1468.875861997402,Bajo
Region_C,Arcilloso,5.346806232063236,1356.1674570033679,Bajo
Region_B,Franco,5.2886811049697195,1034.1450888467693,Medio
Region_A,Limoso,29.21446359522286,1979.7728731894695,Bajo
Region_B,Arenoso,33.57201956694405,1408.6622290353307,Alto
Region_A,Arcilloso,26.251594429372183,855.8401876039917,Medio
Region_D,Arenoso,43.29776468135439,652.6737089306056,Bajo
Region_C,Arenoso,16.86917607856668,729.288708776498,Medio
Region_D,Arcilloso,12.857043882683733,868.9365925767622,Bajo
Region_A,Franco,39.086960768525714,741.0220598893335,Alto
Region_A,Arenoso,10.061812733375369,779.8505360769586,Bajo
Region_D,Limoso,43.345014274827506,927.6427530407707,Alto
Region_A,Arenoso,0.5469513610417354,760.0603929421322,Alto
Region_D,Arcilloso,43.64454720184376,1845.1481369396377,Bajo
Region_C,Arcilloso,1.942196037775925,620.3506184924634,Bajo
Region_D,Arcilloso,40.1014401164132,1286.767084355382,Alto
Region_C,Franco,23.746549908883495,1115.5952404844923,Alto
Region_D,Arenoso,44.68341582536851,1973.5679253629096,Alto
Region_A,Franco,3.3208454130929486,668.0583532520785,Alto
Region_D,Franco,24.923442798059437,1096.7833985686125,Bajo
Region_A,Arcilloso,43.61861410285945,1954.2056499130533,Medio
Region_D,Arcilloso,23.539402987656697,1798.2606888409705,Bajo
Region_D,Franco,28.322938716086814,1725.60810642392,Alto
Region_B,Arenoso,31.30869100430777,886.8542405674098,Medio
Region_A,Limoso,20.454347914549796,756.3313810850987,Bajo
Region_B,Franco,28.240113603782856,1502.9648298866464,Bajo
Region_A,Arenoso,26.29414403653951,1894.0639836913788,Bajo
Region_B,Arcilloso,40.552110472094505,1335.1443395208946,Bajo
Region_C,Arcilloso,2.0450871153656043,1357.4190342048498,Alto
Region_D,Arenoso,12.643343531650364,919.9686404904262,Medio
Region_A,Limoso,42.76851678344514,1654.2393997879053,Alto
Region_A,Arcilloso,40.06187027509124,780.565622836285,Medio
Region_D,Arcilloso,20.504553875357082,985.5188546063655,Bajo
Region_A,Arcilloso,27.905966901069153,1138.154657924625,Alto
Region_A,Arenoso,12.482153234150971,1261.4155680266826,Alto
Region_B,Franco,8.465452187569259,863.6145986226204,Medio
Region_A,Arcilloso,20.8664282222992,672.2552371088053,Alto
Region_C,Franco,15.900850261172376,1415.930063662449,Medio
Region_C,Limoso,26.264525033289242,932.9458298603836,Medio
Region_D,Arcilloso,3.4980586634243176,1371.8573321339184,Medio
Region_A,Arcilloso,43.847766344977494,731.5440729113035,Bajo
Region_D,Limoso,44.37948350158213,1221.7101527822263,Bajo
Region_C,Arcilloso,31.417277130888532,1298.8841488273788,Bajo
Region_A,Franco,24.12433648548542,577.7353052336404,Medio
Region_A,Arenoso,13.928742732884748,1004.9064172908809,Bajo
Region_D,Franco,36.62077588681269,701.6220154084614,Medio
Region_C,Arenoso,30.812902764924566,595.0624557091517,Alto
Region_A,Arenoso,7.317762270520109,1984.940348584918,Bajo
Region_D,Franco,40.99172330222291,983.5307674620844,Medio
Region_C,Franco,37.0141759315426,1714.8116687819522,Alto
Region_D,Franco,42.740996098136584,881.9609821456459,Bajo
Region_B,Franco,32.6573778774762,1522.254083335894,Bajo
Region_A,Limoso,27.603683817110543,1640.34178983453,Bajo
Region_B,Arcilloso,18.82093663307785,1393.4581109117664,Bajo
Region_C,Arenoso,41.972781750930594,1207.3642828252375,Alto
Region_B,Franco,38.97287502751838,1117.7613712209027,Alto
Region_B,Franco,2.0348401547785233,1023.3023998144929,Medio
Region_C,Franco,1.1865138523763403,1894.2937163717388,Alto
Region_D,Limoso,16.940851509512232,1745.9291116815937,Alto
Region_B,Franco,36.47489988518248,1947.540365999769,Bajo
Region_D,Franco,44.4274258191725,686.445835228317,Alto
Region_B,Franco,6.768760099658769,1596.3012128054663,Medio
Region_D,Arcilloso,26.73588219084608,1907.5106852315569,Alto
Region_C,Limoso,17.14008854839597,771.8495992484902,Alto
Region_B,Franco,43.646147901657145,599.7444010501663,Bajo
Region_C,Arenoso,37.89535154110689,1611.6809739350886,Bajo
Region_B,Arenoso,37.724791712001206,1361.709669769868,Bajo
Region_C,Arenoso,21.09119219077366,1762.7431651374081,Medio
Region_C,Limoso,18.666877605194934,709.6585649394342,Alto
Region_B,Limoso,12.30331823688178,1692.9009677898352,Alto
Region_B,Arenoso,2.53689734929172,802.4409800716169,Bajo
Region_B,Franco,38.912506931477395,745.4839142985568,Medio
Region_A,Limoso,36.58054541085349,746.3986968964894,Medio
Region_D,Arenoso,44.987295297875875,1721.862080347073,Bajo
Region_A,Arenoso,44.84865766832574,1497.7958310443,Bajo
Region_A,Franco,24.994426752118237,1284.598137153679,Medio
Region_C,Arcilloso,34.60443368312297,1038.2457261852537,Alto
Region_B,Limoso,42.51445784470926,1815.8008112196624,Bajo
Region_D,Franco,38.23413258048352,1088.667661133953,Medio
Region_C,Arenoso,11.130664578443895,1724.8991592073655,Alto
Region_A,Arenoso,20.27448608895421,1158.7023628553275,Medio
Region_B,Franco,5.812173681817274,1065.4166441373613,Alto
Region_C,Limoso,42.93229622664251,1194.0196785044095,Alto
Region_B,Arcilloso,27.2778585502896,952.0668112462131,Bajo
Region_C,Arcilloso,10.288926247655823,1621.4140702643767,Medio
Region_B,Arenoso,30.226530798263553,1254.0805851387186,Bajo
Region_A,Limoso,27.815770820605312,848.319042720226,Bajo
Region_D,Arcilloso,16.11732231147782,1849.3618599118527,Bajo
Region_A,Limoso,5.110091648983306,1075.836832059817,Medio
Region_D,Limoso,30.22079380167598,1315.329291670983,Medio
Region_B,Arenoso,23.413846540670697,1859.7081664468203,Bajo
Region_C,Arcilloso,34.754327628103766,1436.3569938709882,Bajo
Region_A,Franco,23.407357550039702,675.3470610625461,Alto
Region_D,Arenoso,38.34816751433431,1909.7481854202126,Bajo
Region_A,Arcilloso,24.83580774485185,1441.5620796071266,Bajo
Region_D,Arcilloso,25.242208719092382,1002.3584219856292,Medio
Region_A,Arcilloso,39.44941211962553,708.9081089950809,Alto
Region_D,Arcilloso,18.156728979557865,1691.037783905444,Bajo
Region_D,Arcilloso,6.030685280278833,1430.1091338927704,Alto
Region_B,Limoso,1.2952204341002538,1300.1916379644822,Alto
Region_D,Arenoso,33.98117650531285,1840.8388745764364,Bajo
Region_B,Limoso,27.91392981090591,1682.895816836796,Alto
Region_D,Franco,31.68358956446506,727.5123195991267,Medio
Region_C,Arcilloso,9.583387267900983,967.5831016933223,Medio
Region_C,Arenoso,6.136716401404639,872.7337097216987,Medio
Region_C,Arcilloso,0.6545099550546868,1615.9194388590154,Medio
Region_D,Arenoso,15.776440146296864,550.298652103669,Bajo
Region_B,Limoso,26.54629590845849,1354.834527306975,Alto
Region_B,Arenoso,17.650982029487956,1643.6880286110359,Bajo
Region_D,Franco,19.686371491067806,1815.1484551426242,Bajo
Region_C,Franco,40.68714125221868,1013.1226230738612,Bajo
Region_C,Arenoso,15.671496016048515,1731.8859570080192,Medio
Region_B,Arenoso,23.129527012191485,665.9476054328109,Alto
Region_C,Arenoso,35.26438557335144,1769.6784376017772,Bajo
Region_A,Arenoso,17.844425204457156,691.2329934979737,Medio
Region_B,Franco,27.993901510254307,1095.9309358405508,Bajo
Region_C,Arcilloso,38.80636689360353,1695.9430486693304,Medio
Region_B,Arenoso,42.72842806459389,724.8761410231607,Bajo
Region_A,Arenoso,6.618306641806707,843.8770928489622,Alto
Region_B,Franco,41.69644313226725,1583.3788525895993,Medio
Region_B,Franco,22.14523318857922,1580.0548048191115,Alto
Region_B,Limoso,11.620997473453127,1461.721449327946,Bajo
Region_B,Arenoso,20.661109030721757,1540.92266670065,Medio
Region_A,Limoso,44.101465887846466,1314.0866650213943,Bajo
Region_D,Franco,22.16781422967913,877.6985883604291,Alto
Region_B,Franco,14.79382246293787,1018.5439902558792,Alto
Region_B,Arcilloso,28.50303844425266,772.3965752021385,Bajo
Region_C,Arenoso,10.806552845018688,1862.6758420004426,Medio
Region_B,Limoso,3.4138497648898762,1375.0876921491808,Alto
Region_C,Franco,5.799587485979215,1101.2771251454599,Medio
Region_D,Franco,5.76206275309976,1193.008705466199,Medio
Region_A,Limoso,6.8356212080532455,1920.925009417723,Bajo
Region_A,Arcilloso,6.247222769223456,730.0271046741203,Bajo
Region_D,Franco,28.839363516144658,1379.3447480251957,Alto
Region_A,Arenoso,8.184603797961516,1258.833018326699,Alto
Region_D,Franco,15.555027749573844,1417.1813531519717,Medio
Region_D,Arenoso,40.35547844577053,527.1652757312607,Medio
Region_D,Limoso,21.328273811829256,1808.1858634162272,Medio
Region_A,Arenoso,30.040098233446223,1898.1774237254185,Alto
Region_C,Limoso,7.754394204073343,1347.6997753838134,Alto
Region_D,Arenoso,8.653005846390185,1544.9762358153384,Alto
Region_B,Limoso,1.8390877319915488,1883.7490717659434,Alto
